State,Country,Date,Day_Elapsed,Confirmed,Deaths,Recovered,latitude,longitude,nat_cod,gdp,life_exp,continent
Hubei,Mainland China,2020-01-24,1,549,31,24,30.583333,114.266667,CN,9771,76,Asia
Guangdong,Mainland China,2020-01-24,1,53,2,,23.116667,113.25,CN,9771,76,Asia
Zhejiang,Mainland China,2020-01-24,1,43,1,,30.29365,120.161419,CN,9771,76,Asia
Beijing,Mainland China,2020-01-24,1,36,1,,39.928819,116.388869,CN,9771,76,Asia
Chongqing,Mainland China,2020-01-24,1,27,,,29.562778,106.552778,CN,9771,76,Asia
Hunan,Mainland China,2020-01-24,1,24,,,28.2,112.966667,CN,9771,76,Asia
Guangxi,Mainland China,2020-01-24,1,23,,,23.0027,109.84,CN,9771,76,Asia
Shanghai,Mainland China,2020-01-24,1,20,1,,31.222222,121.458056,CN,9771,76,Asia
Jiangxi,Mainland China,2020-01-24,1,18,,,28.655758,115.905049,CN,9771,76,Asia
Sichuan,Mainland China,2020-01-24,1,15,,,30.666667,104.066667,CN,9771,76,Asia
Shandong,Mainland China,2020-01-24,1,15,,,36.790556,118.063333,CN,9771,76,Asia
Anhui,Mainland China,2020-01-24,1,15,,,31.863889,117.280833,CN,9771,76,Asia
Fujian,Mainland China,2020-01-24,1,10,,,24.513333,117.655556,CN,9771,76,Asia
Henan,Mainland China,2020-01-24,1,9,,,34.683611,113.5325,CN,9771,76,Asia
Jiangsu,Mainland China,2020-01-24,1,9,,,32.061667,118.777778,CN,9771,76,Asia
Hainan,Mainland China,2020-01-24,1,8,,,20.045833,110.341667,CN,9771,76,Asia
Tianjin,Mainland China,2020-01-24,1,8,,,39.142222,117.176667,CN,9771,76,Asia
Yunnan,Mainland China,2020-01-24,1,5,,,25.038889,102.718333,CN,9771,76,Asia
Shaanxi,Mainland China,2020-01-24,1,5,,,34.258479,108.924205,CN,9771,76,Asia
Thailand,Thailand,2020-01-24,1,5,,,15.870032,100.992541,TH,7274,77,Asia
Heilongjiang,Mainland China,2020-01-24,1,4,,1,45.75,126.65,CN,9771,76,Asia
Liaoning,Mainland China,2020-01-24,1,4,,,41.792222,123.432778,CN,9771,76,Asia
Guizhou,Mainland China,2020-01-24,1,3,,,26.583333,106.716667,CN,9771,76,Asia
